feature,coefficient,mean,std,intercept
List Year,14167.47975271463,2021.5885120640826,1.0316800791034835,359702.8971127866
Assessed Value,182930.14222647194,184112.41034730818,117177.90543652348,359702.8971127866
# Middle Schools,4972.064096636988,3.3014627254522004,1.9058995753314756,359702.8971127866
# High Schools,15139.733416778176,6.525440535058101,4.616440562979667,359702.8971127866
Rank score (2025),5341.22143366552,0.3747544150718401,0.19170500272208785,359702.8971127866
air_quality,-6239.6058697714725,14.578641745678901,6.2340077232455515,359702.8971127866
Crime Rate per 1000,-2133.2257052019736,51.980672425972614,25.541763318146163,359702.8971127866
