Shelton63
Old Greenwich28
Cornwall26
Danbury24
Groton24
Lordship24
New Haven24
East Hartford22
Northeastern Connecticut21
Wauregan21
Capitol20
South Central Connecticut20
Middletown19
Byram18
Cos Cob18
Glenville18
Pemberwick18
Riverside18
Rock Ridge18
Waterford18
Darien Downtown17
Norwalk17
Stamford17
Greens Farms16
Lyme16
Mystic16
New Canaan16
Noank16
Pawcatuck16
Saugatuck16
Southport16
Stafford Springs16
Tolland16
Conning Towers-Nautilus Park15
Fenwick15
"Long Hill, Southeastern Connecticut County15"
Mashantucket15
New London15
Old Mystic15
Old Saybrook Center15
Poquonock Bridge15
Saybrook Manor15
Branford Center14
Cannondale14
Danielson14
Derby14
Essex Village14
Gales Ferry14
Greater Bridgeport14
Guilford Center14
Jewett City14
Lisbon14
Madison Center14
Milford14
Moosup14
Niantic14
Old Lyme14
Orange14
Oxoboxo River14
Plainfield14
Plainfield Village14
Quinnipiac University14
Ridgefield14
Southeastern Connecticut14
Southington14
Trumbull Center14
Waterford town14
West Haven14
West Mountain14
Westbrook Center14
Wilton Center14
Woodmont14
Ansonia13
Baltic13
Bethel13
Bethlehem Village13
Bigelow Corners13
Bristol13
Canaan13
Cheshire13
Cheshire Village13
Chester Center13
Colchester13
Durham13
East Brooklyn13
East Hampton13
Gaylordsville13
Heritage Village13
Higganum13
Litchfield13
Lower Connecticut River Valley13
Mechanicsville13
Meriden13
Middlebury13
Moodus13
Naugatuck13
New Preston13
North Grosvenor Dale13
North Haven13
Northford13
Northwest Harwinton13
Northwest Hills13
Oakville13
Plantsville13
Plymouth13
Pomfret13
Portland13
Prospect13
Quasset Lake13
Quinebaug13
Redding Center13
Salem13
Sandy Hook13
Seymour13
South Windham13
South Woodstock13
Tashua13
Terryville13
Thomaston13
Torrington13
Torrington town13
Wallingford13
Wallingford Center13
Washington13
Watertown13
Winchester13
Woodbridge13
Woodbury Center13
Blue Hills12
Broad Brook12
Canton12
Canton Valley12
Collinsville12
Coventry Lake12
Cromwell12
Crystal Lake12
Ellington12
Farmington12
Glastonbury Center12
Greenwich12
Hazardville12
Hebron12
Kensington12
Lake Pocotopaug12
Manchester12
New Britain12
New Hartford Center12
Newington12
North Granby12
Plainville12
Rockville12
Salmon Brook12
Sherwood Manor12
Simsbury Center12
Somers12
South Coventry12
South Windsor12
Southwood Acres12
Storrs12
Suffield Depot12
Tariffville12
Terramuggus12
Thompsonville12
Waterbury12
Weatogue12
West Simsbury12
Weston12
Wethersfield12
Willimantic12
Windsor12
Windsor Locks12
Berlin11
Bridgeport11
Mansfield Center11
Montville11
Branford9
Canterbury9
Deep River Center9
Glastonbury9
Hartford9
New Milford9
Sherman9
West Hartford9
Mansfield8
Naugatuck Valley8
Norwich8
Winsted7
Newtown6
Western Connecticut6
Woodbury6
East Haven5
Clinton4
Enfield4
Guilford4
Oronoque4
Oxford3
Riverton2
