feature,coefficient,abs_coef
Assessed Value,323785.21797865664,323785.21797865664
List Year,8455.070635146416,8455.070635146416
# High Schools,6774.145508468344,6774.145508468344
# Middle Schools,4264.958340231481,4264.958340231481
town_population,3460.940161794556,3460.940161794556
air_quality,-2323.0659911316484,2323.0659911316484
# Private Schools*,-200.9191057396059,200.9191057396059
