feature,coefficient,mean,std,intercept
List Year,8455.070635146416,2015.4759692725936,7.743224433845913,380488.3946754543
Assessed Value,323785.21797865664,204709.58590642107,209669.44859614182,380488.3946754543
# Middle Schools,4264.958340231481,3.282226988739104,1.880491720343737,380488.3946754543
# High Schools,6774.145508468344,6.5167229919315615,4.836400996697154,380488.3946754543
# Private Schools*,-200.9191057396059,8.746112309668408,5.485947989321204,380488.3946754543
town_population,3460.940161794556,93298.69291611068,43368.69985793439,380488.3946754543
air_quality,-2323.0659911316484,14.454236241878561,6.155630310105697,380488.3946754543
