base_feature,aggregated_abs_coef,aggregated_signed_coef
Rank (of 177),1117624.0497157339,7.002307029324584e-05
Property Type,716468.3396916763,-1.4547324099112302e-05
Assessed Value,307744.76744239504,307744.76744239504
Residential Type,125772.14669247698,0.00021774690821985132
Rank score (2025),16667.023131758207,16667.023131758207
List Year,7931.910754902153,7931.910754902153
# Middle Schools,5202.120969354656,5202.120969354656
